,Sex,Single Year of Age,Administrative Counties,VALUE
8742,Female,68 years,Kildare County Council,952
8743,Female,68 years,Kilkenny County Council,495
8744,Female,68 years,Laois County Council,381
8745,Female,68 years,Longford County Council,205
8746,Female,68 years,Louth County Council,578
8747,Female,68 years,Meath County Council,824
8748,Female,68 years,Offaly County Council,399
8749,Female,68 years,Westmeath County Council,438
8750,Female,68 years,Wexford County Council,857
8751,Female,68 years,Wicklow County Council,675
8752,Female,68 years,Clare County Council,648
8753,Female,68 years,Cork City Council,944
8754,Female,68 years,Cork County Council,1691
8755,Female,68 years,Kerry County Council,864
8756,Female,68 years,Limerick City & County Council,931
8757,Female,68 years,Tipperary County Council,823
8758,Female,68 years,Waterford City & County Council,585
8759,Female,68 years,Galway City Council,366
8760,Female,68 years,Galway County Council,925
8761,Female,68 years,Leitrim County Council,202
8762,Female,68 years,Mayo  County Council,799
8763,Female,68 years,Roscommon County Council,393
8764,Female,68 years,Sligo County Council,409
8765,Female,68 years,Cavan County Council,393
8766,Female,68 years,Donegal County Council,844
8767,Female,68 years,Monaghan County Council,309
8768,Female,69 years,Ireland,23375
8769,Female,69 years,Carlow County Council,311
8770,Female,69 years,Dublin City Council,2244
8771,Female,69 years,Dún Laoghaire Rathdown County Council,1100
8772,Female,69 years,Fingal County Council,1193
8773,Female,69 years,South Dublin County Council,1416
8774,Female,69 years,Kildare County Council,983
8775,Female,69 years,Kilkenny County Council,523
8776,Female,69 years,Laois County Council,377
8777,Female,69 years,Longford County Council,221
8778,Female,69 years,Louth County Council,569
8779,Female,69 years,Meath County Council,836
8780,Female,69 years,Offaly County Council,354
8781,Female,69 years,Westmeath County Council,448
8782,Female,69 years,Wexford County Council,810
8783,Female,69 years,Wicklow County Council,722
8784,Female,69 years,Clare County Council,616
8785,Female,69 years,Cork City Council,983
8786,Female,69 years,Cork County Council,1724
8787,Female,69 years,Kerry County Council,928
8788,Female,69 years,Limerick City & County Council,1007
8789,Female,69 years,Tipperary County Council,848
8790,Female,69 years,Waterford City & County Council,616
8791,Female,69 years,Galway City Council,354
8792,Female,69 years,Galway County Council,941
8793,Female,69 years,Leitrim County Council,202
8794,Female,69 years,Mayo  County Council,771
8795,Female,69 years,Roscommon County Council,352
8796,Female,69 years,Sligo County Council,403
8797,Female,69 years,Cavan County Council,364
8798,Female,69 years,Donegal County Council,863
8799,Female,69 years,Monaghan County Council,296
8800,Female,70 years,Ireland,21897
8801,Female,70 years,Carlow County Council,245
8802,Female,70 years,Dublin City Council,2175
8803,Female,70 years,Dún Laoghaire Rathdown County Council,1052
8804,Female,70 years,Fingal County Council,1140
8805,Female,70 years,South Dublin County Council,1327
8806,Female,70 years,Kildare County Council,866
8807,Female,70 years,Kilkenny County Council,491
8808,Female,70 years,Laois County Council,369
8809,Female,70 years,Longford County Council,189
8810,Female,70 years,Louth County Council,544
8811,Female,70 years,Meath County Council,766
8812,Female,70 years,Offaly County Council,366
8813,Female,70 years,Westmeath County Council,374
8814,Female,70 years,Wexford County Council,740
8815,Female,70 years,Wicklow County Council,676
8816,Female,70 years,Clare County Council,626
8817,Female,70 years,Cork City Council,901
8818,Female,70 years,Cork County Council,1560
8819,Female,70 years,Kerry County Council,811
8820,Female,70 years,Limerick City & County Council,964
8821,Female,70 years,Tipperary County Council,832
8822,Female,70 years,Waterford City & County Council,578
8823,Female,70 years,Galway City Council,291
8824,Female,70 years,Galway County Council,900
8825,Female,70 years,Leitrim County Council,179
8826,Female,70 years,Mayo  County Council,771
8827,Female,70 years,Roscommon County Council,361
8828,Female,70 years,Sligo County Council,357
8829,Female,70 years,Cavan County Council,330
8830,Female,70 years,Donegal County Council,803
8831,Female,70 years,Monaghan County Council,313
8832,Female,71 years,Ireland,21236
8833,Female,71 years,Carlow County Council,259
8834,Female,71 years,Dublin City Council,2042
8835,Female,71 years,Dún Laoghaire Rathdown County Council,1016
8836,Female,71 years,Fingal County Council,1008
8837,Female,71 years,South Dublin County Council,1307
8838,Female,71 years,Kildare County Council,858
8839,Female,71 years,Kilkenny County Council,426
8840,Female,71 years,Laois County Council,305
8841,Female,71 years,Longford County Council,191
8842,Female,71 years,Louth County Council,542
8843,Female,71 years,Meath County Council,792
8844,Female,71 years,Offaly County Council,353
8845,Female,71 years,Westmeath County Council,361
8846,Female,71 years,Wexford County Council,717
8847,Female,71 years,Wicklow County Council,640
8848,Female,71 years,Clare County Council,595
8849,Female,71 years,Cork City Council,909
8850,Female,71 years,Cork County Council,1568
8851,Female,71 years,Kerry County Council,814
8852,Female,71 years,Limerick City & County Council,941
8853,Female,71 years,Tipperary County Council,751
8854,Female,71 years,Waterford City & County Council,553
8855,Female,71 years,Galway City Council,302
8856,Female,71 years,Galway County Council,907
8857,Female,71 years,Leitrim County Council,173
8858,Female,71 years,Mayo  County Council,777
8859,Female,71 years,Roscommon County Council,321
8860,Female,71 years,Sligo County Council,349
8861,Female,71 years,Cavan County Council,340
8862,Female,71 years,Donegal County Council,854
8863,Female,71 years,Monaghan County Council,265
8864,Female,72 years,Ireland,21159
8865,Female,72 years,Carlow County Council,278
8866,Female,72 years,Dublin City Council,2032
8867,Female,72 years,Dún Laoghaire Rathdown County Council,1076
8868,Female,72 years,Fingal County Council,1107
8869,Female,72 years,South Dublin County Council,1251
8870,Female,72 years,Kildare County Council,881
8871,Female,72 years,Kilkenny County Council,449
8872,Female,72 years,Laois County Council,296
8873,Female,72 years,Longford County Council,217
8874,Female,72 years,Louth County Council,527
8875,Female,72 years,Meath County Council,735
8876,Female,72 years,Offaly County Council,376
8877,Female,72 years,Westmeath County Council,374
8878,Female,72 years,Wexford County Council,751
8879,Female,72 years,Wicklow County Council,678
8880,Female,72 years,Clare County Council,636
8881,Female,72 years,Cork City Council,874
8882,Female,72 years,Cork County Council,1449
8883,Female,72 years,Kerry County Council,787
8884,Female,72 years,Limerick City & County Council,924
8885,Female,72 years,Tipperary County Council,741
8886,Female,72 years,Waterford City & County Council,571
8887,Female,72 years,Galway City Council,297
8888,Female,72 years,Galway County Council,821
8889,Female,72 years,Leitrim County Council,175
8890,Female,72 years,Mayo  County Council,762
8891,Female,72 years,Roscommon County Council,378
8892,Female,72 years,Sligo County Council,341
8893,Female,72 years,Cavan County Council,326
8894,Female,72 years,Donegal County Council,755
8895,Female,72 years,Monaghan County Council,294
8896,Female,73 years,Ireland,20134
8897,Female,73 years,Carlow County Council,228
8898,Female,73 years,Dublin City Council,2057
8899,Female,73 years,Dún Laoghaire Rathdown County Council,970
8900,Female,73 years,Fingal County Council,1053
8901,Female,73 years,South Dublin County Council,1145
8902,Female,73 years,Kildare County Council,811
8903,Female,73 years,Kilkenny County Council,410
8904,Female,73 years,Laois County Council,281
8905,Female,73 years,Longford County Council,182
8906,Female,73 years,Louth County Council,518
8907,Female,73 years,Meath County Council,753
8908,Female,73 years,Offaly County Council,332
8909,Female,73 years,Westmeath County Council,356
8910,Female,73 years,Wexford County Council,747
8911,Female,73 years,Wicklow County Council,642
8912,Female,73 years,Clare County Council,571
8913,Female,73 years,Cork City Council,842
8914,Female,73 years,Cork County Council,1491
8915,Female,73 years,Kerry County Council,769
8916,Female,73 years,Limerick City & County Council,829
8917,Female,73 years,Tipperary County Council,755
8918,Female,73 years,Waterford City & County Council,559
8919,Female,73 years,Galway City Council,285
8920,Female,73 years,Galway County Council,787
8921,Female,73 years,Leitrim County Council,140
8922,Female,73 years,Mayo  County Council,666
8923,Female,73 years,Roscommon County Council,298
8924,Female,73 years,Sligo County Council,322
8925,Female,73 years,Cavan County Council,307
8926,Female,73 years,Donegal County Council,767
8927,Female,73 years,Monaghan County Council,261
8928,Female,74 years,Ireland,19177
8929,Female,74 years,Carlow County Council,229
8930,Female,74 years,Dublin City Council,1922
8931,Female,74 years,Dún Laoghaire Rathdown County Council,989
8932,Female,74 years,Fingal County Council,967
8933,Female,74 years,South Dublin County Council,1008
8934,Female,74 years,Kildare County Council,766
8935,Female,74 years,Kilkenny County Council,383
8936,Female,74 years,Laois County Council,278
8937,Female,74 years,Longford County Council,179
8938,Female,74 years,Louth County Council,538
8939,Female,74 years,Meath County Council,682
8940,Female,74 years,Offaly County Council,309
8941,Female,74 years,Westmeath County Council,373
8942,Female,74 years,Wexford County Council,649
8943,Female,74 years,Wicklow County Council,575
8944,Female,74 years,Clare County Council,536
8945,Female,74 years,Cork City Council,859
8946,Female,74 years,Cork County Council,1357
8947,Female,74 years,Kerry County Council,723
8948,Female,74 years,Limerick City & County Council,873
8949,Female,74 years,Tipperary County Council,759
8950,Female,74 years,Waterford City & County Council,500
8951,Female,74 years,Galway City Council,279
8952,Female,74 years,Galway County Council,751
8953,Female,74 years,Leitrim County Council,172
8954,Female,74 years,Mayo  County Council,626
8955,Female,74 years,Roscommon County Council,307
8956,Female,74 years,Sligo County Council,329
8957,Female,74 years,Cavan County Council,288
8958,Female,74 years,Donegal County Council,715
8959,Female,74 years,Monaghan County Council,256
8960,Female,75 years,Ireland,18294
8961,Female,75 years,Carlow County Council,197
8962,Female,75 years,Dublin City Council,1789
8963,Female,75 years,Dún Laoghaire Rathdown County Council,1043
8964,Female,75 years,Fingal County Council,939
8965,Female,75 years,South Dublin County Council,978
8966,Female,75 years,Kildare County Council,721
8967,Female,75 years,Kilkenny County Council,377
8968,Female,75 years,Laois County Council,304
8969,Female,75 years,Longford County Council,180
8970,Female,75 years,Louth County Council,476
8971,Female,75 years,Meath County Council,629
8972,Female,75 years,Offaly County Council,317
8973,Female,75 years,Westmeath County Council,344
8974,Female,75 years,Wexford County Council,636
8975,Female,75 years,Wicklow County Council,538
8976,Female,75 years,Clare County Council,551
8977,Female,75 years,Cork City Council,766
8978,Female,75 years,Cork County Council,1303
8979,Female,75 years,Kerry County Council,713
8980,Female,75 years,Limerick City & County Council,810
8981,Female,75 years,Tipperary County Council,671
8982,Female,75 years,Waterford City & County Council,513
8983,Female,75 years,Galway City Council,255
8984,Female,75 years,Galway County Council,712
8985,Female,75 years,Leitrim County Council,133
8986,Female,75 years,Mayo  County Council,588
8987,Female,75 years,Roscommon County Council,289
8988,Female,75 years,Sligo County Council,313
8989,Female,75 years,Cavan County Council,295
8990,Female,75 years,Donegal County Council,675
8991,Female,75 years,Monaghan County Council,239
8992,Female,76 years,Ireland,17665
8993,Female,76 years,Carlow County Council,211
8994,Female,76 years,Dublin City Council,1719
8995,Female,76 years,Dún Laoghaire Rathdown County Council,946
8996,Female,76 years,Fingal County Council,879
8997,Female,76 years,South Dublin County Council,908
8998,Female,76 years,Kildare County Council,592
8999,Female,76 years,Kilkenny County Council,410
9000,Female,76 years,Laois County Council,288
9001,Female,76 years,Longford County Council,187
